gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FANCM,6.41987846,6.107524873,8.331322665,7.257398895,6.40000137,7.397334732,8.754137497,4.519830815,5.406607227,9.36202296
FANK1,0.747520095,0.351512223,0.363668846,0.255767362,1.09367112,1.407297827,1.21585243,0.688451051,1.220846793,0.907172767
FAP,3.12199569,3.866634452,2.248134687,0.287738282,2.025316889,1.154705909,0.729511458,1.736093956,22.96354682,1.270041874
FAR1,36.40862579,32.11942937,27.10985947,79.54364956,42.97722439,54.88461525,54.91600143,49.08955323,36.74167492,63.81053246
FAR2,8.530523434,7.337817653,5.355850285,61.60796331,20.21266256,28.39854846,29.22098674,24.84410316,6.947199609,29.62826258
FAR2P2,2.242560284,1.274231808,1.983317646,0.703360245,0.486076053,0.649522074,1.256380844,0,0.058135562,0.471729839
FARP1,57.33918844,82.4735553,19.07608404,20.97292368,27.38228434,27.74902638,27.23509443,70.94039094,14.09787368,63.86496283
FARP2,12.31209568,11.59990336,16.13367246,27.62287509,19.15949777,22.37242699,24.64127592,22.65901939,19.50448091,21.28227312
FARS2,4.397177028,7.249939597,7.306437734,4.571841595,4.820254197,6.170459703,6.119790565,4.789224705,3.110252545,5.18902823
FARSA,8.838325825,9.66658613,15.20796994,18.60707558,9.51898938,12.23266573,13.41490515,21.37191525,22.38219121,19.54050141
FARSB,11.8284062,11.46808627,13.78635536,29.95675227,14.17721823,17.46492688,18.84571267,32.53679534,18.3127019,52.7430247
FAS,6.243991379,9.007500712,15.10878753,15.15421619,10.89620486,13.89255547,13.5770188,5.357945139,15.69660163,2.558227204
FASN,44.76326214,29.30733158,37.09422234,122.5445373,127.594964,59.32301609,60.26575212,151.399366,98.16189573,297.7159588
FASTK,9.234071758,10.36961058,9.290085988,12.9482227,8.911394313,8.840717118,13.17173466,10.02743923,8.342453087,10.8497863
FASTKD1,8.750382285,10.45748863,8.199079448,22.79526613,12.27342035,18.00619527,19.00782632,13.79895368,9.069147607,20.99197784
FASTKD2,26.55894925,22.36496518,12.99289606,23.78636466,15.7569654,18.29487175,18.88624108,28.5557523,22.26592009,34.83543427
FASTKD3,2.946108608,3.163610006,3.83505329,4.923521717,3.524051388,4.763161876,4.093369848,5.926665572,3.69160816,10.95864703
FASTKD5,6.727680852,7.689329876,9.058660358,14.22705951,8.182280233,7.144742814,9.037836397,17.72013141,7.70296191,12.77299257
FAT1,279.0888259,305.903512,88.14010407,452.164725,326.4000699,428.9010762,423.440873,551.718686,1184.395796,207.6155596
FAT3,7.91491865,11.07263502,3.537506052,2.333877178,8.708862624,3.824963325,2.14800596,0.987777595,2.848642517,0.689451303
FAT4,210.9765538,222.7269322,30.15145345,24.0101611,40.10127441,38.24963325,23.91176446,17.12147832,7.964571937,24.38480399
FAU,64.81438939,57.38437039,89.42947543,66.14783398,59.54431655,53.62165566,53.700149,66.03143562,53.74632668,98.13794998
FAXC,22.07382868,37.2163566,1.553857799,0.991098528,2.187342241,2.525919177,1.377966087,0.568720434,0.261610027,0.254008375
FAXDC2,59.18600279,86.25231169,7.372559343,6.170387607,13.97468654,12.77393412,11.5911265,4.040908345,4.302031557,1.542193705
FBF1,3.16596746,3.207549034,2.843229164,1.502633251,1.134177458,1.443382387,1.377966087,1.586430684,2.296354682,0.979746589
FBL,15.21423252,15.64229392,33.49059468,31.71515288,23.93924563,23.16628731,31.20687904,57.29110053,24.64947811,37.24851383
FBLIM1,27.61427173,46.39961342,21.62176596,74.2364768,45.52912367,47.34294228,54.02437631,30.86056669,17.46973626,33.63796622
FBLN1,112.5237601,38.18301521,52.50055711,42.04176012,161.0937054,137.6986797,88.35194325,8.590671815,22.26592009,10.83164284
FBLN2,37.33203296,15.2907817,24.20050869,18.6390465,87.53419596,58.70957858,44.82442626,4.54976347,23.89371581,1.124894232
FBLN5,23.56886887,39.54512508,12.82759204,6.873747852,35.72658993,16.56281289,9.726819441,1.915689882,2.877710298,3.175104686
FBLN7,1.143266027,0.439390279,2.57874273,0.639418405,2.227848578,1.11862135,1.256380844,0.389124507,1.48245682,0.23586492
FBN1,194.091394,112.8793626,81.79242966,79.09605668,250.9367626,161.6227427,118.9103677,26.81965835,207.5148871,33.11180601
FBN2,1.407096649,7.821146959,4.562390983,7.545137177,5.589874615,8.66029432,8.267796525,3.023198095,2.238219121,7.856116166
FBP1,1.6269555,0.922719585,2.876289968,11.70135681,10.45063515,12.44917309,14.30653026,14.03841492,68.48369154,13.2447224
FBRS,27.70221527,32.33912451,39.17705301,32.29062944,27.94937307,28.39854846,33.51699866,40.58867937,34.03837131,31.18859974
FBRSL1,17.80856696,22.32102615,19.40669208,15.4739254,16.48607948,16.56281289,20.14262193,20.77326216,15.63846607,20.33881345
FBXL12,6.507822001,6.283280984,5.025242242,5.690823803,4.455697157,3.752794205,4.093369848,5.178349212,4.708980488,4.44514656
FBXL14,1.890786122,2.636341672,3.735870878,5.403085521,4.617722508,5.520937629,5.755034836,3.621851183,2.441693586,2.84852249
FBXL15,4.968810041,3.69087834,2.611803534,3.772568589,2.632911956,2.345496378,4.377068748,2.51434297,2.383558025,3.229535052
FBXL17,17.41282103,16.16956225,12.82759204,19.21452307,12.71899007,18.43920999,15.76555318,8.231479962,13.51651807,8.672571657
FBXL18,9.893648312,9.974159325,8.033775427,7.992730061,7.534178829,5.809614106,6.849302023,10.20703515,6.017030624,6.858226122
FBXL19,8.178749271,14.01654989,10.21578851,8.664119386,9.032913327,9.201562715,11.83429699,18.3187845,14.38855149,13.29915277
FBXL19-AS1,1.055322487,2.021195282,1.983648254,2.58964454,2.75443097,3.031103012,3.36385839,2.993265441,2.092880217,1.342615696
FBXL2,5.496471284,5.009049176,0.562033672,0.351680123,1.296202809,0.613437514,0.526869386,0.389124507,3.052116983,0.054430366
FBXL20,36.58451287,45.34507675,26.94455544,24.74549227,29.04304419,33.91948609,36.59715815,27.95709922,32.87566007,12.86370984
FBXL3,29.81286025,24.34222144,30.54818311,31.01179263,30.90633573,36.37323614,32.74695878,31.96807491,27.87600178,46.95526244
FBXL4,12.61989807,11.24839113,11.04230861,8.951857668,11.90886331,11.58314365,13.13120624,11.64380256,14.94083933,13.00885749
FBXL5,73.47682813,71.26910319,37.09422234,36.03122711,41.55950257,35.75979863,34.24651011,16.13370072,38.36947064,15.85737997
FBXL6,1.757991376,3.030914142,3.404271011,6.330242208,4.050633779,3.932856158,6.281498938,6.164031522,3.575046359,18.57526959
FBXL7,21.45822389,22.98011157,8.033775427,4.507899754,8.384811922,7.072573695,4.093369848,1.047642904,3.575337037,2.286075374
FBXL8,0.395745932,0.966219223,1.740981951,0.925558141,1.205468613,2.339001158,2.704461089,2.06655046,1.155153609,2.350121771
FBXO10,17.63267988,12.56656197,15.57163879,6.074474846,3.767089414,4.113639802,3.890727776,2.693938897,4.447370461,3.991560177
FBXO11,40.89374636,32.6466977,38.48277612,39.9636503,32.60760192,30.88838307,28.57253211,37.26615474,40.43328308,42.2198206
FBXO17,7.95889042,7.162061541,1.917526645,0.895185767,2.956962659,2.634172856,1.661664988,0.119730618,0.842965643,0.453586384
FBXO18,26.42703394,25.88008741,25.42375845,33.44158257,22.7240555,27.13558887,27.68090699,27.68770533,30.1142209,21.10083857
FBXO21,33.11074302,22.84829449,19.67117852,19.08663938,20.33418157,20.71253725,22.25009947,25.50262155,24.9692237,24.23965635
FBXO22,11.16882965,10.10597641,9.058660358,9.687188833,8.951900651,11.65531277,10.41580248,8.83013305,9.476096538,14.22446899
FBXO25,10.42086984,11.55157042,8.799133045,8.17336576,10.49154655,10.19100134,11.85131892,14.62060504,8.087819327,4.194222573
FBXO28,27.26249757,24.34222144,20.13402977,29.28536294,16.89114286,18.61963279,19.41311047,32.02794021,30.63744095,25.23754639
FBXO3,17.28090572,18.01500142,9.554572422,14.80253607,14.46076259,12.91827236,12.88803576,10.65602497,8.313385306,12.15611508
FBXO30,71.67398555,80.71599418,16.53040211,13.68355386,11.05823022,15.33593786,12.32063796,8.860065704,14.21414481,16.85527002
FBXO31,37.99160952,32.51488062,18.05119911,18.67101742,23.49367592,22.15591964,26.95139553,25.86181341,14.59202596,16.03881453
FBXO32,606.3267403,776.5344394,59.17883957,35.55166331,77.52913053,78.66434007,57.06400739,20.0249458,73.25080759,10.12404808
FBXO33,9.893648312,8.040842099,10.41415333,10.87011288,7.858229531,9.129393596,8.794665911,7.004241131,8.865673141,9.398309871
FBXO34,14.99437366,12.3029278,23.07644135,51.72894895,33.45823501,39.29608548,44.0949148,30.32177891,14.50482261,41.040496
FBXO36,1.890786122,2.196951393,1.091006539,1.087011288,1.296202809,1.587720625,1.49955133,1.227238831,2.354490244,2.304218829
FBXO38,22.42560284,21.04679435,22.18379964,19.53423227,17.49873792,22.62501891,21.11530387,22.68895204,22.03337784,13.22657895
FBXO4,3.078023919,3.603000285,3.967296507,2.717528221,2.227848578,3.103272131,3.688085705,4.160638962,3.081184764,7.329955961
FBXO41,2.506390906,2.768158755,10.34803172,3.005266503,1.660759849,2.670257415,3.323329976,12.84110874,7.150674075,7.602107791
FBXO42,20.05112725,18.89378198,17.29080061,13.97129215,15.02785132,15.26376874,16.29242256,14.54727004,17.32439735,14.49662082
FBXO44,6.200019609,5.052988204,6.083187978,1.950226135,3.178127263,1.768143424,2.999102661,5.896732918,5.057793858,2.10464082
FBXO45,9.190099988,5.975707789,7.90153221,15.85757644,7.898735869,8.299448723,10.09157517,22.92841328,9.737706565,17.94387734
FBXO46,7.123426785,10.76506183,12.69534882,8.472293864,7.088609113,8.768547999,11.06425711,14.66700066,9.56329988,6.205061729
FBXO48,1.055322487,1.318170836,1.157128148,1.438691411,1.701266187,1.695974304,1.985892302,1.556498029,1.249914574,1.124894232
FBXO5,1.319153108,1.23029278,8.496626686,5.786736564,2.632911956,2.525919177,2.472233275,8.141681999,4.76711605,16.69197892
FBXO6,1.67092727,1.537865975,2.710985947,1.822342454,1.601620596,1.876397103,1.621136573,2.903467477,8.168046402,1.433332973
FBXO7,32.45116646,33.21790506,31.67225045,32.67428049,29.3670949,29.8780154,28.61306052,29.09454008,29.06778079,33.85568768
